IOC,File Name,Type,First Seen on VT
b74e20c912e5c1529ec73bcd89776d4f81e56663edcfaccc82ecac50e34d5284,EngrCorpsPolicy.zip,Zip,5/31/2021
bf31145ea7ae06bce7bf53edcfe548fea4047055a6c9c6aba143dc1ef64ad504,vaccination.zip,Zip,5/10/2021
de6d22103f4d655614d5c8cb7fa6350486edc08a80da48b20a3c83ec45bb7aba,Image__7563.jpg.lnk,Microsoft Shortcut,1/14/2021
hxxps://minervacollege.co.in/fonts/plugins/mrt/Image-7563/css2,css2.hta,Compromised Domain,3/19/2019
8a10797ac7f84d09cfb4cb3a6a1e75473dc81dab757c0000036a861575216e5c,DATE-OD-NEXT-INCREMENT-ON-UP-GRADATION-OF-PAY-ON-01-JAN-AND-01-JUL.pdf.lnk,Microsoft Shortcut,4/2/2021
hxxps://londonkids.in/echoolz/assets/css/front/hwo/DATE-OF-NEXT-INCREMENT-ON-UP-GRADATION-OF-PAY-ON-01-JAN-AND-01-JUL/css,css.hta,URL,4/2/2021
54759951089f44a3918e164b8bf29c8f388cfd41f9930f81b8103852947fed93,Call-for-Proposal-DGSP-COAS-Chair-Excellance.pdf.lnk,Microsoft Shortcut,4/16/2021
hxxps://iiieyehealth.com/fonts/times/files/Call-for-Proposal-DGSP-COAS-Chair-Excellance/css/css.hta,css.hta,URL,4/16/2021
24469a7f1f33cdecf507824a773814b5f3190c81acaf04d06c168ccbf71b2ee8,Covid Vaccination.pdf.lnk,Microsoft Shortcut,5/10/2021
hxxps://londonkids.in/preschool/video/Emergency_Vaccination/css/,css.hta,URL,5/10/2021
df47ca45bdf2f910a0ebae49d29549240066f77d0abb735cf1afe41368cb0d85,Cir-Bfg-Int-May21-Summary.docx.lnk,Microsoft Shortcut,5/15/2021
hxxps://ikiranastore.com/images/files/ist/doc/i.php,i.php,URL,5/15/2021
7f800784b00354dd15eee129317a63bd3f7bb25622e898c873603e5b142cbb09,Covid Vaccination On Emergency Basis for All Employees and their Familes.pdf.lnk,Microsoft Shortcut,5/17/2021
hxxp://5-135-125-106.cinfuserver.com/Emergency_Vaccination/css/,css.hta,URL,5/17/2021
caed359105265eac5e9628548c95a898c3f8d0e427354eaa6ec3a2acb3515c83,css3.ta,HTA,4/3/2021
b0942f024982da62053fa5c469b02ccdc2ceb16290a07bb2eae01d9a42b55452,officetool.exe,Svchostt.exe,4/3/2021
4ad90c52ef1ee513305a50f0247a44bdec8edb2d80c8042a4139e6e5a69a8c83,css.hta,HTA,1/14/2021
12a1bfe07c0615ad260c07b2810c9bb3cee2e19378a5ff98f374e2e48928de8c,css210.hta,HTA,1/18/2021
419bc71bd6c50e531db61c11762d4e8433caef3173714bc30342b16f9fca5e2d,7.hta,HTA,1/18/2021
d94424bc2a0f8a4f7f719d05ac72ef7d56df94c52e31b7cbc1ccbf7cb4cf0363,css27.hta,HTA,1/18/2021
4294b86cc73437343da28e9d5c38877a199bf05e10b1242697e0140eaf9cdc65,1.hta,HTA,1/18/2021
df173424d830588307eb70c50c5811cac66d8daf03f53d610cc0129ba5d30167,10.hta,HTA,1/18/2021
78bb6fa38c7854e592f06177be16ebb1e621f964f3a79d532b137f06d4d314f6,10.hta,HTA,1/18/2021
46e2595644f26bea7b6ad5b332ab04ee93cedb603717696ff82494f5217bdb97,7.hta,HTA,1/18/2021
0f97d13cf263ca75cbcf587bb5f2c3ba981ccae7ddb94bb4bc813f6083b00e04,Update.exe,Executable,1/18/2021
hxxp://164.68.108.22/h_ttp,,URL,1/18/2021
660427971b04313c2ebf2410f9ba4f67c5f1d8ecc472be6c709546a12dc97f7d,course.hta,HTA,11/11/2020
c43028136118dc1aeed2d47bbb0c6822297f65c9fd411b4de19824f52dafa01f,hta.dll,Loader,1/18/2021
fd2f6e33ab19446828dc73771e2696220f4f3a03a2cd73037bae1b77db548385,preBotHta.dll,Loader,1/18/2021
1e488c21314be1a976218e39c90ee17902636508e6e97754152b3bb14f5af062,Update.exe,executable,10/2/2020
